Designator,Mid X,Mid Y,Rotation,Layer
AE1,102.7,-118.093,270.0,top
B1,194.3402,-88.3808,223.0,top
B10,182.3963,-122.9716,55.0,top
B11,183.1315,-125.2968,318.0,top
B12,143.325,-82.225,232.0,top
B13,124.193,-97.3889,262.0,top
B14,129.2696,-100.3688,50.0,top
B2,117.9521,-94.6649,156.0,top
B3,161.975,-82.525,226.0,top
B4,163.6126,-123.9717,47.0,top
B5,178.8789,-89.8817,314.0,top
B6,177.9183,-88.5789,224.0,top
B7,180.55,-105.3,48.0,top
B8,157.2317,-108.5711,44.0,top
B9,151.6561,-117.0706,154.0,top
C1,194.52,-77.35,286.0,bottom
C10,195.87,-129.69,232.0,bottom
C11,166.459852,-138.1,90.0,bottom
C12,124.13,-87.43,354.0,bottom
C13,103.0342,-103.842,36.0,bottom
C14,140.35,-111.75,158.0,bottom
C16,207.05,-81.08,270.0,bottom
C17,206.4,-104.5,0.0,bottom
C18,207.301725,-117.479497,270.0,bottom
C19,206.8,-127.5,270.0,bottom
C2,117.65,-77.62,168.0,bottom
C20,206.75,-137.4,270.0,bottom
C21,204.509579,-108.757478,270.0,bottom
C22,129.2,-120.1,270.0,top
C23,129.2105,-115.8,90.0,top
C24,128.7605,-114.35,180.0,top
C25,128.7605,-113.45,180.0,top
C26,128.3,-120.1,90.0,top
C27,128.7605,-112.55,180.0,top
C28,127.4,-120.75,90.0,top
C29,128.75,-121.4,0.0,top
C3,145.15,-82.51,140.0,bottom
C30,122.9,-120.8,270.0,top
C31,123.95,-111.81,270.0,top
C32,122.05,-120.8,90.0,top
C33,120.95,-112.15,0.0,top
C34,119.73,-115.91,0.0,top
C35,119.25,-117.17,90.0,top
C36,122.48,-122.08,180.0,top
C37,119.72,-119.37,0.0,top
C38,119.71,-118.55,180.0,top
C39,112.1,-119.97,270.0,top
C4,159.88,-125.35,0.0,bottom
C40,102.7,-117.613,90.0,top
C41,122.52,-93.09,164.0,bottom
C42,124.45,-93.7,26.0,bottom
C43,205.75,-132.45,270.0,bottom
C44,199.4,-135.1,270.0,bottom
C45,119.6,-108.3,270.0,bottom
C46,131.6,-111.55,320.0,bottom
C47,128.65,-103.7,230.0,bottom
C48,127.3,-103.9,258.0,bottom
C49,126.125,-107.75,220.0,bottom
C5,168.05,-102.15,52.0,bottom
C6,163.88,-74.56,110.0,bottom
C7,200.2,-103.18,0.0,bottom
C8,184.07,-116.86,258.0,bottom
C9,157.47,-92.47,348.0,bottom
D1,200.55,-89.65,180.0,bottom
D2,121.71,-121.6,90.0,bottom
D3,201.0,-131.8,354.0,bottom
D4,204.0325,-88.95,180.0,bottom
J1,203.8027,-96.0885,90.0,bottom
JP1,125.26,-115.625,270.0,bottom
JP2,123.16,-115.625,270.0,bottom
K1,104.025,-77.0385,0.0,top
K10,165.9375,-96.0885,270.0,top
K11,192.13125,-96.0885,90.0,top
K12,111.16875,-115.1385,180.0,top
K13,137.3625,-115.1385,0.0,top
K14,156.4125,-115.1385,0.0,top
K15,175.4625,-115.1385,90.0,top
K16,196.89375,-115.1385,90.0,top
K17,168.31875,-134.1885,270.0,top
K18,194.5125,-134.1885,0.0,top
K2,123.075,-77.0385,180.0,top
K3,142.125,-77.0385,180.0,top
K4,161.175,-77.0385,180.0,top
K5,180.225,-77.0385,270.0,top
K6,199.275,-77.0385,0.0,top
K7,106.4063,-96.0885,270.0,top
K8,127.8375,-96.0885,180.0,top
K9,146.8875,-96.0885,180.0,top
L1,125.7,-120.75,270.0,top
L2,126.55,-120.75,90.0,top
L3,113.35,-120.15,200.0,top
L4,203.7,-129.45,236.0,bottom
Q1,201.4,-86.95,0.0,bottom
Q10,176.89,-110.23,338.0,bottom
Q11,191.98,-76.9,0.0,bottom
Q12,116.84,-75.18,350.0,bottom
Q13,144.34,-84.6,144.0,bottom
Q14,159.4,-127.65,90.0,bottom
Q15,169.65,-104.05,142.0,bottom
Q16,166.5125,-76.2,180.0,bottom
Q17,199.8,-105.65,90.0,bottom
Q18,185.5,-114.22,340.0,bottom
Q19,153.975,-99.25,76.0,bottom
Q2,186.675,-70.95,270.0,bottom
Q20,200.6,-126.39,238.0,bottom
Q21,173.839852,-140.12,180.0,bottom
Q22,129.416266,-87.040531,150.0,bottom
Q23,155.925,-94.875,52.0,bottom
Q24,197.81,-130.34,232.0,bottom
Q25,168.669852,-139.72,160.0,bottom
Q26,125.016266,-85.310531,156.0,bottom
Q27,107.46,-101.41,252.0,bottom
Q28,132.78,-115.62,90.0,bottom
Q3,186.68,-75.4,314.0,bottom
Q30,104.96,-105.03,218.0,bottom
Q31,137.25,-110.6,2.0,bottom
Q33,204.7,-124.2,180.0,bottom
Q4,112.3087,-73.8124,336.0,bottom
Q5,148.54,-87.21,168.0,bottom
Q6,159.17,-132.57,80.0,bottom
Q7,173.05,-107.3,128.0,bottom
Q8,171.14,-75.79,172.0,bottom
Q9,198.24,-110.27,54.0,bottom
R1,198.5,-88.2,180.0,bottom
R10,183.14,-116.22,82.0,bottom
R11,194.33,-75.24,278.0,bottom
R12,119.57,-75.06,258.0,bottom
R13,143.0,-86.72,152.0,bottom
R14,157.33,-128.21,90.0,bottom
R15,167.2,-101.5,232.0,bottom
R16,165.22,-78.33,178.0,bottom
R17,200.81,-101.42,246.0,bottom
R18,185.34,-111.67,340.0,bottom
R19,154.52,-96.91,336.0,bottom
R2,190.48,-72.91,180.0,bottom
R20,199.36,-128.53,146.0,bottom
R21,171.209852,-140.12,258.0,bottom
R22,127.316266,-85.960531,242.0,bottom
R23,157.52,-91.29,178.0,bottom
R24,197.77,-133.76,90.0,bottom
R25,165.909852,-140.44,90.0,bottom
R26,122.56,-86.94,64.0,bottom
R27,107.15,-103.88,148.0,bottom
R28,134.38,-112.58,44.0,bottom
R3,188.63,-76.95,44.0,bottom
R30,103.78,-102.27,214.0,bottom
R31,140.51,-110.49,174.0,bottom
R33,201.8,-94.6,180.0,bottom
R34,201.9,-97.7,180.0,bottom
R35,127.2,-114.38,90.0,bottom
R36,130.475,-112.5,48.0,bottom
R37,131.225,-113.175,48.0,bottom
R38,122.59,-121.63,270.0,bottom
R39,110.8,-120.22,166.0,top
R4,114.53,-74.82,76.0,bottom
R40,130.31,-114.78,270.0,bottom
R41,130.3,-116.6,270.0,bottom
R42,120.025,-93.675,66.0,bottom
R43,121.67,-95.9,158.0,bottom
R44,206.4,-88.95,0.0,bottom
R45,205.5,-84.65,0.0,bottom
R46,206.897861,-122.507968,90.0,bottom
R47,124.85,-99.2,78.0,bottom
R48,121.1169,-110.6595,180.0,bottom
R49,122.92,-110.61,0.0,bottom
R5,146.13,-86.32,54.0,bottom
R50,124.425,-108.425,140.0,bottom
R51,124.02,-109.75,302.0,bottom
R52,126.5093,-109.7722,140.0,bottom
R53,127.7,-108.75,230.0,bottom
R54,126.54,-105.88,74.0,bottom
R55,126.15,-104.05,76.0,bottom
R56,124.65,-104.25,166.0,bottom
R6,159.34,-130.07,180.0,bottom
R7,171.5066,-105.4048,52.0,bottom
R8,168.77,-75.82,270.0,bottom
R9,199.63,-108.22,156.0,bottom
TH1,123.85,-95.77,308.0,bottom
U1,197.6,-85.85,180.0,bottom
U10,208.5841,-86.4431,0.0,top
U11,208.5841,-88.9335,0.0,top
U12,208.5841,-103.2527,0.0,top
U13,208.5841,-105.7527,0.0,top
U14,208.5841,-108.2527,0.0,top
U15,208.5841,-110.7527,0.0,top
U16,208.5841,-113.2527,0.0,top
U17,208.5841,-115.7527,0.0,top
U18,208.5841,-118.2527,0.0,top
U19,208.5841,-120.7527,0.0,top
U2,195.246,-71.0135,0.0,top
U20,208.5841,-123.2527,0.0,top
U21,208.5841,-125.7527,0.0,top
U22,208.5841,-128.2527,0.0,top
U23,208.5841,-130.7527,0.0,top
U24,208.5841,-133.2527,0.0,top
U25,208.5841,-135.7527,0.0,top
U26,208.5841,-138.2527,0.0,top
U27,208.2806,-140.716,342.0,top
U28,203.66,-105.02,270.0,bottom
U29,182.246,-71.0135,0.0,top
U3,190.3,-70.775,180.0,bottom
U30,124.2105,-116.2,180.0,top
U31,122.35,-94.65,158.0,bottom
U32,203.2,-135.05,0.0,bottom
U33,205.0,-86.7,180.0,bottom
U34,126.8,-101.0,72.0,bottom
U35,121.7,-108.8192,0.0,bottom
U36,129.35,-110.3,320.0,bottom
U37,126.935,-105.625,270.0,top
U38,143.3,-115.25,244.0,bottom
U39,132.0,-106.95,320.0,bottom
U4,208.45,-71.35,10.0,top
U40,124.7,-106.0,170.0,bottom
U5,208.5841,-73.9335,0.0,top
U6,208.5841,-76.4335,0.0,top
U7,208.5841,-78.9335,0.0,top
U8,208.5841,-81.4335,0.0,top
U9,208.5841,-83.9431,0.0,top
X1,128.925,-117.95,90.0,top
X2,120.26,-121.55,270.0,top
